Date,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,BRK-B,JPM,V,UNH,XOM,JNJ,WMT,PG,MA,HD,CVX,MRK,ABBV,PEP,KO,COST,AVGO,LLY,TMO,MCD,CSCO,ACN,ABT,DHR,NKE,TXN,NEE,PM,ORCL,CRM,AMD,INTC,QCOM,IBM,GE,CAT,BA,DIS
2024-06-06,192.80978393554688,417.9515380859375,175.28131103515625,185.0,120.78897094726562,490.43524169921875,177.94000244140625,411.0799865722656,188.7754669189453,272.8851013183594,480.4710693359375,106.72776794433594,138.34323120117188,65.91632843017578,159.8514862060547,443.4362487792969,314.9302673339844,143.15977478027344,122.31951141357422,157.5289306640625,159.490478515625,60.532325744628906,833.6132202148438,137.32196044921875,825.7570190429688,576.0384521484375,248.70327758789062,43.87229919433594,282.818115234375,100.17440032958984,264.8872375488281,91.20796966552734,185.4456787109375,72.38189697265625,96.34718322753906,120.92277526855469,239.5599822998047,166.77999877929688,30.22824478149414,200.70591735839844,159.18508911132812,158.71408081054688,319.5838317871094,191.4199981689453,99.20366668701172
2024-06-07,195.1990966796875,417.2919616699219,173.0299072265625,184.3000030517578,120.67916870117188,489.6405944824219,177.47999572753906,413.7200012207031,191.68988037109375,274.4906921386719,469.720947265625,105.58531188964844,138.96681213378906,64.66966247558594,158.51361083984375,444.53326416015625,311.0589904785156,143.29751586914062,122.46009063720703,158.32327270507812,158.74334716796875,60.30585861206055,836.521728515625,137.8481903076172,838.2821655273438,577.2803344726562,244.40118408203125,43.5021858215332,279.5802917480469,103.35440826416016,260.04376220703125,91.99884033203125,184.85032653808594,71.1456527709961,95.76490020751953,123.29226684570312,238.66197204589844,167.8699951171875,30.546226501464844,198.00352478027344,160.89805603027344,159.99864196777344,320.216552734375,190.24000549316406,99.5271224975586
2024-06-10,191.4614715576172,421.2497253417969,173.77459716796875,187.05999755859375,121.57959747314453,499.2156677246094,173.7899932861328,410.80999755859375,191.3639373779297,270.91510009765625,473.8468017578125,105.89432525634766,139.01405334472656,65.72980499267578,158.7887725830078,443.9996032714844,316.3189392089844,143.9034423828125,123.22856903076172,159.295166015625,153.97286987304688,60.00390625,839.2522583007812,141.16348266601562,853.0853271484375,577.6676635742188,242.11178588867188,43.51167678833008,281.5481872558594,103.2679214477539,261.61541748046875,91.47476959228516,186.74977111816406,72.6366958618164,95.82958984375,121.90190124511719,238.652099609375,160.33999633789062,30.71515464782715,200.61968994140625,161.2482452392578,160.90773010253906,320.8688049316406,190.1199951171875,100.70333862304688
2024-06-11,205.37095642089844,425.9853210449219,175.37322998046875,187.22999572753906,120.7110595703125,504.0528564453125,170.66000366210938,408.5,186.33084106445312,270.5506591796875,475.0146179199219,105.04216003417969,138.66445922851562,65.50404357910156,158.91212463378906,443.7920837402344,319.3246765136719,143.67391967773438,123.55656433105469,156.71591186523438,153.20252990722656,59.96615982055664,840.2118530273438,143.17831420898438,853.8941040039062,572.1143798828125,242.56015014648438,43.43575668334961,285.2222900390625,101.65391540527344,258.2348937988281,91.35089111328125,186.57965087890625,68.64484405517578,95.95899963378906,121.29484558105469,237.8133087158203,158.9600067138672,30.7250919342041,199.82431030273438,160.24508666992188,158.4571533203125,318.62982177734375,185.5,98.87040710449219
2024-06-12,211.2401580810547,434.23565673828125,176.53500366210938,186.88999938964844,124.99397277832031,505.4136962890625,177.2899932861328,408.7699890136719,183.6177520751953,266.265869140625,471.9992980957031,103.88095092773438,137.388916015625,65.09175109863281,156.72979736328125,437.8226623535156,327.3334655761719,141.58982849121094,122.01960754394531,155.2113494873047,152.05169677734375,59.33395004272461,838.7279052734375,146.5572967529297,855.353759765625,571.9155883789062,242.7509002685547,43.293399810791016,276.9919738769531,100.28009033203125,261.55609130859375,89.26412200927734,188.0349578857422,68.19186401367188,94.8775863647461,137.45050048828125,232.69171142578125,160.24000549316406,30.56610107421875,206.40782165527344,159.9422149658203,159.13897705078125,320.01214599609375,182.6699981689453,98.80178833007812
2024-06-13,212.40008544921875,434.74761962890625,173.92356872558594,183.8300018310547,129.396728515625,500.7055358886719,182.47000122070312,405.9200134277344,185.65975952148438,267.122802734375,476.0484924316406,103.04750061035156,137.42674255371094,65.4745864868164,157.89688110351562,439.7992858886719,330.8907775878906,140.32284545898438,121.24175262451172,155.6505889892578,151.587646484375,59.437747955322266,836.8976440429688,164.53802490234375,871.162841796875,568.875732421875,242.00686645507812,43.19851303100586,273.6862487792969,99.38660430908203,252.06689453125,89.74054718017578,185.4834747314453,69.06007385253906,94.25833129882812,136.9315643310547,226.01097106933594,159.89999389648438,30.26799201965332,208.72691345214844,160.05577087402344,153.84259033203125,317.7049560546875,180.6999969482422,98.10586547851562
2024-06-14,210.66513061523438,435.7222900390625,175.54205322265625,183.66000366210938,131.66299438476562,501.262451171875,178.00999450683594,405.5400085449219,185.77479553222656,266.6007995605469,475.8761901855469,102.17660522460938,137.51174926757812,65.78870391845703,158.25741577148438,439.43359375,329.9015808105469,140.07496643066406,121.3448486328125,157.54762268066406,152.0331268310547,59.48053741455078,846.5036010742188,170.03079223632812,866.3501586914062,568.6868286132812,241.89239501953125,43.350345611572266,277.94195556640625,99.60758209228516,251.9087677001953,88.98779296875,183.234375,68.94681549072266,94.4616470336914,135.24746704101562,228.8826141357422,159.6300048828125,30.258056640625,206.35028076171875,160.14096069335938,154.03033447265625,312.9446716308594,177.27000427246094,97.98825073242188
2024-06-17,214.8092041015625,441.43255615234375,175.9888916015625,184.05999755859375,130.7644805908203,503.71820068359375,187.44000244140625,407.32000732421875,186.92518615722656,267.1031494140625,470.3101501464844,101.47427368164062,137.89913940429688,66.18136596679688,158.93109130859375,442.8728942871094,332.4316711425781,140.64418029785156,120.20409393310547,158.56622314453125,154.19561767578125,59.54710006713867,858.6124877929688,179.22598266601562,872.8197631835938,564.6605834960938,241.82562255859375,43.359832763671875,276.7980651855469,99.38660430908203,251.1970672607422,90.52189636230469,184.1793670654297,68.23905181884766,94.3230209350586,138.361083984375,227.4418487548828,158.39999389648438,30.784713745117188,212.95298767089844,160.41542053222656,161.29312133789062,313.8500061035156,178.38999938964844,99.50752258300781
2024-06-18,212.4496612548828,439.4339599609375,173.85403442382812,182.80999755859375,135.35691833496094,496.61920166015625,184.86000061035156,407.95001220703125,188.8617706298828,269.5163879394531,462.4465026855469,102.429443359375,137.61569213867188,66.3580551147461,159.93687438964844,444.8495788574219,336.5882263183594,140.772705078125,120.66605377197266,160.1361846923828,154.51116943359375,59.556610107421875,861.4220581054688,176.64373779296875,879.180908203125,565.8236694335938,239.23098754882812,43.62556457519531,276.6235656738281,99.9053955078125,254.53805541992188,90.31226348876953,185.45513916015625,66.47433471679688,93.5743408203125,141.62159729003906,228.7543182373047,154.6300048828125,30.436920166015625,217.61988830566406,161.40914916992188,163.0124969482422,316.5173034667969,174.99000549316406,99.4879150390625
2024-06-20,207.87925720214844,438.80389404296875,175.05551147460938,186.10000610351562,130.56480407714844,498.8164978027344,181.57000732421875,409.1499938964844,190.4627685546875,272.66839599609375,465.7822265625,104.63947296142578,139.62823486328125,66.76052856445312,159.09242248535156,447.2214660644531,336.1792907714844,143.81163024902344,122.24991607666016,160.8557891845703,154.69677734375,59.12869644165039,853.2011108398438,169.9837646484375,873.7861328125,553.9340209960938,242.1022491455078,44.33730697631836,296.7972412109375,102.38406372070312,245.6913604736328,91.06502532958984,182.15707397460938,68.38060760498047,93.5373764038086,139.92771911621094,238.61264038085938,161.77999877929688,30.426984786987305,206.48446655273438,164.59852600097656,163.0421142578125,320.4015197753906,176.3000030517578,99.82117462158203
